n_clusters,n_cubes,perc_overlap,Accuracy,Balanced Accuracy,AUROC
3,3,0.6,0.963165573,0.5514757870035963,0.6532534322924033
3,4,0.1,0.9604911256990032,0.5452271485188624,0.6605556128825142
3,4,0.15,0.9606126914660832,0.5452902081732955,0.6531929205027958
3,4,0.2,0.9586676391928033,0.5345586015279545,0.654671531
3,4,0.25,0.9610989545344031,0.5439220047619593,0.6399257637118654
3,4,0.3,0.9613420860685631,0.5489094501580313,0.6289468018563743
3,4,0.35,0.9617067833698031,0.5458577450631934,0.6555008613906331
3,4,0.4,0.962193046,0.5493508677390629,0.65061894
3,4,0.45,0.9634087041089229,0.5386383700799138,0.6442465178119108
3,4,0.5,0.9634087041089229,0.5467405802252567,0.6584737949979469
3,4,0.55,0.9635302698760029,0.5532854079959642,0.6602906349406539
3,4,0.6,0.962436178,0.5494769870479291,0.6428192888654486
3,5,0.1,0.963044007,0.5384491911166145,0.6685327653293349
3,5,0.15,0.9641380987114029,0.5438780540937181,0.6602791695489388
3,5,0.2,0.9638949671772429,0.5453723768139205,0.6414634001341026
3,5,0.25,0.9637734014101629,0.5517910852757618,0.6754655055197368
3,5,0.3,0.9638949671772429,0.5486132608720578,0.6629603726337235
3,5,0.35,0.962922441,0.5448678995784557,0.6470438610683282
3,5,0.4,0.962436178,0.546236103,0.6403595376984202
3,5,0.45,0.962193046,0.5428690996227886,0.6474321981321602
3,5,0.5,0.962193046,0.5444895416518571,0.6469166801491181
3,5,0.55,0.9606126914660832,0.5469106502023642,0.6544598462873151
3,5,0.6,0.9609773887673231,0.5438589451075262,0.6297536257178079
3,6,0.1,0.9618283491368831,0.5524025728339008,0.6400667455655474
3,6,0.15,0.962557744,0.554401373,0.6513246986194394
3,6,0.2,0.9600048626306832,0.5320113736685813,0.6235429928833889
3,6,0.25,0.9610989545344031,0.5390606786747536,0.6524597723992351
3,6,0.3,0.9619499149039631,0.5395020962557853,0.6424950730663936
3,6,0.35,0.962436178,0.5446156609607233,0.657935771
3,6,0.4,0.962800875,0.5431843978949541,0.6413205073818012
3,6,0.45,0.96267931,0.5382600121533152,0.6647332619081894
3,6,0.5,0.962314612,0.5429321592772217,0.6598143965403392
3,6,0.55,0.962193046,0.5396282155646515,0.6515988064102579
3,6,0.6,0.9635302698760029,0.541942314,0.6584162557173024
3,7,0.1,0.9634087041089229,0.5532223483415311,0.6590020523051169
3,7,0.15,0.962193046,0.5477304257099944,0.6481175737702412
3,7,0.2,0.96267931,0.5463622222986582,0.6322488346703253
3,7,0.25,0.9619499149039631,0.5476043064011282,0.6453384902117403
3,7,0.3,0.962800875,0.5480457239821599,0.6447569400653017
3,7,0.35,0.963165573,0.5417531348291847,0.6425360512256716
3,7,0.4,0.963165573,0.5449940188873219,0.6505134159945611
3,7,0.45,0.962800875,0.5464252819530913,0.6286140931745674
3,7,0.5,0.9635302698760029,0.5468036398796898,0.674176923
3,7,0.55,0.962922441,0.540006573,0.6718133536143372
3,7,0.6,0.9635302698760029,0.5451831978506212,0.6448146916680148
3,8,0.1,0.962922441,0.5513496676947302,0.6475689335444663
3,8,0.15,0.9619499149039631,0.5476043064011282,0.6508677815273854
3,8,0.2,0.963044007,0.5416900751747517,0.6591835876739395
3,8,0.25,0.9634087041089229,0.5467405802252567,0.6682905058488361
3,8,0.3,0.963287138,0.5515388466580294,0.6607938382437059
3,8,0.35,0.9640165329443229,0.551917205,0.6606759994955228
3,8,0.4,0.9638949671772429,0.5550950289883321,0.6713700251346866
3,8,0.45,0.9636518356430829,0.5468666995341229,0.6667987309934591
3,8,0.5,0.9620714806710431,0.5460469240264927,0.6505741401062374
3,8,0.55,0.9642596644784829,0.54880244,0.6620771128275228
3,8,0.6,0.9634087041089229,0.5451201381961881,0.6595332821212504
3,9,0.1,0.9641380987114029,0.5503598222099925,0.6794444210890169
3,9,0.15,0.962436178,0.5527178711060663,0.6482201253294707
3,9,0.2,0.962922441,0.5464883416075244,0.6459433957857467
3,9,0.25,0.96267931,0.5479826643277268,0.6452879575593664
3,9,0.3,0.9635302698760029,0.5549058500250328,0.6543411582508568
