n_clusters,n_cubes,perc_overlap,Accuracy,Balanced Accuracy,AUROC
2,12,0.3,0.9634087041089229,0.5272952758764337,0.6226733216895911
2,12,0.35,0.9635302698760029,0.5322196616180725,0.6560836854694845
2,12,0.4,0.963287138,0.5320935423092064,0.6159253016990436
2,12,0.45,0.963165573,0.5287895985966361,0.6323356743964639
2,12,0.5,0.962557744,0.5284743003244706,0.6443344191483932
2,12,0.55,0.9636518356430829,0.530662279,0.6550125206323971
2,12,0.6,0.963287138,0.5369548683964122,0.6411062744143838
2,13,0.1,0.9636518356430829,0.5371440473597114,0.6380403437409365
2,13,0.15,0.9635302698760029,0.5322196616180725,0.6391996222365751
2,13,0.2,0.9636518356430829,0.5371440473597114,0.6515633486247688
2,13,0.25,0.9636518356430829,0.5339031633015742,0.6624637513148044
2,13,0.3,0.962800875,0.523739094,0.6686336183120141
2,13,0.35,0.962922441,0.5286634792877699,0.6620919753723385
2,13,0.4,0.963165573,0.5352713667129104,0.619843918
2,13,0.45,0.9634087041089229,0.5353974860217766,0.6465361990018316
2,13,0.5,0.963165573,0.5352713667129104,0.6491171860701436
2,13,0.55,0.962800875,0.5302208616624053,0.6571905204141298
2,13,0.6,0.963287138,0.5320935423092064,0.6559490732778662
2,14,0.1,0.963044007,0.5303469809712715,0.6333671350066861
2,14,0.15,0.9636518356430829,0.5339031633015742,0.6353578667237388
2,14,0.2,0.9634087041089229,0.533777044,0.6428226860185493
2,14,0.25,0.9637734014101629,0.5355866649850759,0.6334938912817586
2,14,0.3,0.963165573,0.5336509246838418,0.6467446992733914
2,14,0.35,0.963044007,0.5319674230003402,0.6502201992175507
2,14,0.4,0.963287138,0.5353344263673435,0.6351920431880074
2,14,0.45,0.963165573,0.5304100406257046,0.6480339188751347
2,14,0.5,0.9634087041089229,0.5305361599345708,0.6465073232004749
2,14,0.55,0.9634087041089229,0.533777044,0.631453476
2,14,0.6,0.963165573,0.5336509246838418,0.6389507807719436
3,2,0.1,0.9619499149039631,0.5135750237906879,0.5464828212337356
3,2,0.15,0.9603695599319232,0.5273392265446749,0.5877641764260505
3,2,0.2,0.9566010211524435,0.5205230511700433,0.5862002120672822
3,2,0.25,0.9585460734257233,0.5199115636119042,0.601235375
3,2,0.3,0.9603695599319232,0.5257187845156063,0.5915267358072251
3,2,0.35,0.9600048626306832,0.5239091635232385,0.5952202905160403
3,2,0.4,0.9608558230002431,0.5243505811042701,0.611108988
3,2,0.45,0.9606126914660832,0.5290857878826096,0.606290126
3,2,0.5,0.9613420860685631,0.5310845878382768,0.6223907210160206
3,2,0.55,0.9617067833698031,0.5296533247725075,0.6089413918900614
